,First,Follows,NonTerminals,;,(,),{,},Name,void,char,short,int,long,float,double,string,",",return,if,else,==,<=,>=,!=,>,<,=,CharacterValue,StringValue,FloatValue,IntegerValue,while,+,-,/,*,&,|,^,%,end
0,"[';', 'void', 'char', 'short', 'int', 'long', 'float', 'double', 'string']",['end'],Functions,Functions -> ;,scan,scan,scan,scan,scan,Functions -> Function Functions,Functions -> Function Functions,Functions -> Function Functions,Functions -> Function Functions,Functions -> Function Functions,Functions -> Function Functions,Functions -> Function Functions,Functions -> Function Functions,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,pop
1,"['void', 'char', 'short', 'int', 'long', 'float', 'double', 'string']","[';', 'void', 'char', 'short', 'int', 'long', 'float', 'double', 'string', 'end']",Function,pop,scan,scan,scan,scan,scan,Function -> FunctionType FunctionName ( parameter ) { content },Function -> FunctionType FunctionName ( parameter ) { content },Function -> FunctionType FunctionName ( parameter ) { content },Function -> FunctionType FunctionName ( parameter ) { content },Function -> FunctionType FunctionName ( parameter ) { content },Function -> FunctionType FunctionName ( parameter ) { content },Function -> FunctionType FunctionName ( parameter ) { content },Function -> FunctionType FunctionName ( parameter ) { content },pop,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,pop
2,['Name'],"['(', 'end']",FunctionName,scan,pop,scan,scan,scan,FunctionName -> Name,scan,scan,scan,scan,scan,scan,scan,scan,pop,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,pop
3,"['void', 'char', 'short', 'int', 'long', 'float', 'double', 'string']","['Name', 'end']",FunctionType,scan,scan,scan,scan,scan,pop,FunctionType -> type-specifier,FunctionType -> type-specifier,FunctionType -> type-specifier,FunctionType -> type-specifier,FunctionType -> type-specifier,FunctionType -> type-specifier,FunctionType -> type-specifier,FunctionType -> type-specifier,pop,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,pop
4,"['void', 'char', 'short', 'int', 'long', 'float', 'double', 'string']","['Name', 'end']",type-specifier,scan,scan,scan,scan,scan,pop,type-specifier -> void,type-specifier -> void,type-specifier -> void,type-specifier -> void,type-specifier -> void,type-specifier -> void,type-specifier -> void,type-specifier -> void,pop,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,pop
5,"[""''"", ';', 'void', 'char', 'short', 'int', 'long', 'float', 'double', 'string']","[')', 'end']",parameters,scan,scan,parameters -> '',scan,scan,scan,parameters -> parameter D,parameters -> parameter D,parameters -> parameter D,parameters -> parameter D,parameters -> parameter D,parameters -> parameter D,parameters -> parameter D,parameters -> parameter D,pop,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,pop
6,"[',', ""''""]","[')', 'end']",D,scan,scan,D -> '',scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,"D -> , parameters",scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,pop
7,"['void', 'char', 'short', 'int', 'long', 'float', 'double', 'string']","[')', ',', 'end']",parameter,scan,scan,pop,scan,scan,scan,parameter -> dataType Name,parameter -> dataType Name,parameter -> dataType Name,parameter -> dataType Name,parameter -> dataType Name,parameter -> dataType Name,parameter -> dataType Name,parameter -> dataType Name,pop,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,pop
8,"['void', 'char', 'short', 'int', 'long', 'float', 'double', 'string']","['Name', 'end']",dataType,scan,scan,scan,scan,scan,pop,dataType -> type-specifier,dataType -> type-specifier,dataType -> type-specifier,dataType -> type-specifier,dataType -> type-specifier,dataType -> type-specifier,dataType -> type-specifier,dataType -> type-specifier,pop,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,pop
9,"[""''"", 'if', 'void', 'char', 'short', 'int', 'long', 'float', 'double', 'string', 'while', 'Name', 'return']","['}', 'end']",content,scan,scan,scan,scan,content -> '',content -> Akshat ; content,content -> variableInitialization ; content,content -> variableInitialization ; content,content -> variableInitialization ; content,content -> variableInitialization ; content,content -> variableInitialization ; content,content -> variableInitialization ; content,content -> variableInitialization ; content,content -> variableInitialization ; content,pop,content -> returnStatement ; content,content -> conditionalStatement content,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,content -> loop content,scan,scan,scan,scan,scan,scan,scan,scan,pop
10,['return'],"[';', 'end']",returnStatement,pop,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,pop,returnStatement -> return temp,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,pop
11,"['Name', 'CharacterValue', 'StringValue', 'FloatValue', 'IntegerValue']","[';', 'end']",temp,pop,scan,scan,scan,scan,temp -> Name functionCall,scan,scan,scan,scan,scan,scan,scan,scan,pop,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,temp -> valueVariable,temp -> valueVariable,temp -> valueVariable,temp -> valueVariable,scan,scan,scan,scan,scan,scan,scan,scan,scan,pop
12,['Name'],"[';', 'end']",Akshat,pop,scan,scan,scan,scan,Akshat -> Name Aryan,scan,scan,scan,scan,scan,scan,scan,scan,pop,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,pop
13,"['(', '=']","[';', 'end']",Aryan,pop,Aryan -> functionCall,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,pop,scan,scan,scan,scan,scan,scan,scan,scan,scan,Aryan -> operation,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,pop
14,['if'],"['}', 'if', 'void', 'char', 'short', 'int', 'long', 'float', 'double', 'string', 'while', 'Name', 'return', 'end']",conditionalStatement,scan,scan,scan,scan,pop,pop,pop,pop,pop,pop,pop,pop,pop,pop,pop,pop,conditionalStatement -> if ( condition ) { content } Extra,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,pop,scan,scan,scan,scan,scan,scan,scan,scan,pop
