,Stack,Input,Rule
0,['Functions'],"['int', 'Name', '(', 'int', 'Name', ')', '{', 'int', 'Name', ';', '}', 'int', 'Name', '(', 'string', 'Name', ')', '{', 'int', 'Name', '=', 'IntegerValue', ';', 'Name', 'IntegerValue', ')', ';', 'Name', '(', 'Name', ')', ';', '}', ';', 'end']",
1,"['Functions', 'Function']","['int', 'Name', '(', 'int', 'Name', ')', '{', 'int', 'Name', ';', '}', 'int', 'Name', '(', 'string', 'Name', ')', '{', 'int', 'Name', '=', 'IntegerValue', ';', 'Name', 'IntegerValue', ')', ';', 'Name', '(', 'Name', ')', ';', '}', ';', 'end']",Functions -> Function Functions
2,"['Functions', '}', 'content', '{', ')', 'parameter', '(', 'FunctionName', 'FunctionType']","['int', 'Name', '(', 'int', 'Name', ')', '{', 'int', 'Name', ';', '}', 'int', 'Name', '(', 'string', 'Name', ')', '{', 'int', 'Name', '=', 'IntegerValue', ';', 'Name', 'IntegerValue', ')', ';', 'Name', '(', 'Name', ')', ';', '}', ';', 'end']",Function -> FunctionType FunctionName ( parameter ) { content }
3,"['Functions', '}', 'content', '{', ')', 'parameter', '(', 'FunctionName', 'type-specifier']","['int', 'Name', '(', 'int', 'Name', ')', '{', 'int', 'Name', ';', '}', 'int', 'Name', '(', 'string', 'Name', ')', '{', 'int', 'Name', '=', 'IntegerValue', ';', 'Name', 'IntegerValue', ')', ';', 'Name', '(', 'Name', ')', ';', '}', ';', 'end']",FunctionType -> type-specifier
4,"['Functions', '}', 'content', '{', ')', 'parameter', '(', 'FunctionName', 'void']","['int', 'Name', '(', 'int', 'Name', ')', '{', 'int', 'Name', ';', '}', 'int', 'Name', '(', 'string', 'Name', ')', '{', 'int', 'Name', '=', 'IntegerValue', ';', 'Name', 'IntegerValue', ')', ';', 'Name', '(', 'Name', ')', ';', '}', ';', 'end']",type-specifier -> void
5,"['Functions', '}', 'content', '{', ')', 'parameter', '(', 'FunctionName']","['Name', '(', 'int', 'Name', ')', '{', 'int', 'Name', ';', '}', 'int', 'Name', '(', 'string', 'Name', ')', '{', 'int', 'Name', '=', 'IntegerValue', ';', 'Name', 'IntegerValue', ')', ';', 'Name', '(', 'Name', ')', ';', '}', ';', 'end']",
6,"['Functions', '}', 'content', '{', ')', 'parameter', '(', 'Name']","['Name', '(', 'int', 'Name', ')', '{', 'int', 'Name', ';', '}', 'int', 'Name', '(', 'string', 'Name', ')', '{', 'int', 'Name', '=', 'IntegerValue', ';', 'Name', 'IntegerValue', ')', ';', 'Name', '(', 'Name', ')', ';', '}', ';', 'end']",FunctionName -> Name
7,"['Functions', '}', 'content', '{', ')', 'parameter', '(']","['(', 'int', 'Name', ')', '{', 'int', 'Name', ';', '}', 'int', 'Name', '(', 'string', 'Name', ')', '{', 'int', 'Name', '=', 'IntegerValue', ';', 'Name', 'IntegerValue', ')', ';', 'Name', '(', 'Name', ')', ';', '}', ';', 'end']",
8,"['Functions', '}', 'content', '{', ')', 'parameter']","['int', 'Name', ')', '{', 'int', 'Name', ';', '}', 'int', 'Name', '(', 'string', 'Name', ')', '{', 'int', 'Name', '=', 'IntegerValue', ';', 'Name', 'IntegerValue', ')', ';', 'Name', '(', 'Name', ')', ';', '}', ';', 'end']",
9,"['Functions', '}', 'content', '{', ')', 'Name', 'dataType']","['int', 'Name', ')', '{', 'int', 'Name', ';', '}', 'int', 'Name', '(', 'string', 'Name', ')', '{', 'int', 'Name', '=', 'IntegerValue', ';', 'Name', 'IntegerValue', ')', ';', 'Name', '(', 'Name', ')', ';', '}', ';', 'end']",parameter -> dataType Name
10,"['Functions', '}', 'content', '{', ')', 'Name', 'type-specifier']","['int', 'Name', ')', '{', 'int', 'Name', ';', '}', 'int', 'Name', '(', 'string', 'Name', ')', '{', 'int', 'Name', '=', 'IntegerValue', ';', 'Name', 'IntegerValue', ')', ';', 'Name', '(', 'Name', ')', ';', '}', ';', 'end']",dataType -> type-specifier
11,"['Functions', '}', 'content', '{', ')', 'Name', 'void']","['int', 'Name', ')', '{', 'int', 'Name', ';', '}', 'int', 'Name', '(', 'string', 'Name', ')', '{', 'int', 'Name', '=', 'IntegerValue', ';', 'Name', 'IntegerValue', ')', ';', 'Name', '(', 'Name', ')', ';', '}', ';', 'end']",type-specifier -> void
12,"['Functions', '}', 'content', '{', ')', 'Name']","['Name', ')', '{', 'int', 'Name', ';', '}', 'int', 'Name', '(', 'string', 'Name', ')', '{', 'int', 'Name', '=', 'IntegerValue', ';', 'Name', 'IntegerValue', ')', ';', 'Name', '(', 'Name', ')', ';', '}', ';', 'end']",
13,"['Functions', '}', 'content', '{', ')']","[')', '{', 'int', 'Name', ';', '}', 'int', 'Name', '(', 'string', 'Name', ')', '{', 'int', 'Name', '=', 'IntegerValue', ';', 'Name', 'IntegerValue', ')', ';', 'Name', '(', 'Name', ')', ';', '}', ';', 'end']",
14,"['Functions', '}', 'content', '{']","['{', 'int', 'Name', ';', '}', 'int', 'Name', '(', 'string', 'Name', ')', '{', 'int', 'Name', '=', 'IntegerValue', ';', 'Name', 'IntegerValue', ')', ';', 'Name', '(', 'Name', ')', ';', '}', ';', 'end']",
15,"['Functions', '}', 'content']","['int', 'Name', ';', '}', 'int', 'Name', '(', 'string', 'Name', ')', '{', 'int', 'Name', '=', 'IntegerValue', ';', 'Name', 'IntegerValue', ')', ';', 'Name', '(', 'Name', ')', ';', '}', ';', 'end']",
16,"['Functions', '}', 'content', ';', 'variableInitialization']","['int', 'Name', ';', '}', 'int', 'Name', '(', 'string', 'Name', ')', '{', 'int', 'Name', '=', 'IntegerValue', ';', 'Name', 'IntegerValue', ')', ';', 'Name', '(', 'Name', ')', ';', '}', ';', 'end']",content -> variableInitialization ; content
17,"['Functions', '}', 'content', ';', 'moreVariable', 'Name', 'type-specifier']","['int', 'Name', ';', '}', 'int', 'Name', '(', 'string', 'Name', ')', '{', 'int', 'Name', '=', 'IntegerValue', ';', 'Name', 'IntegerValue', ')', ';', 'Name', '(', 'Name', ')', ';', '}', ';', 'end']",variableInitialization -> type-specifier Name moreVariable
18,"['Functions', '}', 'content', ';', 'moreVariable', 'Name', 'void']","['int', 'Name', ';', '}', 'int', 'Name', '(', 'string', 'Name', ')', '{', 'int', 'Name', '=', 'IntegerValue', ';', 'Name', 'IntegerValue', ')', ';', 'Name', '(', 'Name', ')', ';', '}', ';', 'end']",type-specifier -> void
19,"['Functions', '}', 'content', ';', 'moreVariable', 'Name']","['Name', ';', '}', 'int', 'Name', '(', 'string', 'Name', ')', '{', 'int', 'Name', '=', 'IntegerValue', ';', 'Name', 'IntegerValue', ')', ';', 'Name', '(', 'Name', ')', ';', '}', ';', 'end']",
20,"['Functions', '}', 'content', ';', 'moreVariable']","[';', '}', 'int', 'Name', '(', 'string', 'Name', ')', '{', 'int', 'Name', '=', 'IntegerValue', ';', 'Name', 'IntegerValue', ')', ';', 'Name', '(', 'Name', ')', ';', '}', ';', 'end']",
