,Stack,Input,Rule
0,['Functions'],"['int', 'Name', '(', 'string', 'Name', ')', '{', 'int', 'Name', '=', 'IntegerValue', ';', 'while', '(', 'Name', '<=', 'IntegerValue', ')', '{', 'Name', '(', 'Name', ')', ';', 'Name', '=', 'Name', '+', 'IntegerValue', ';', '}', '}', ';', 'end']",
1,"['Functions', 'Function']","['int', 'Name', '(', 'string', 'Name', ')', '{', 'int', 'Name', '=', 'IntegerValue', ';', 'while', '(', 'Name', '<=', 'IntegerValue', ')', '{', 'Name', '(', 'Name', ')', ';', 'Name', '=', 'Name', '+', 'IntegerValue', ';', '}', '}', ';', 'end']",Functions -> Function Functions
2,"['Functions', '}', 'content', '{', ')', 'parameter', '(', 'FunctionName', 'FunctionType']","['int', 'Name', '(', 'string', 'Name', ')', '{', 'int', 'Name', '=', 'IntegerValue', ';', 'while', '(', 'Name', '<=', 'IntegerValue', ')', '{', 'Name', '(', 'Name', ')', ';', 'Name', '=', 'Name', '+', 'IntegerValue', ';', '}', '}', ';', 'end']",Function -> FunctionType FunctionName ( parameter ) { content }
3,"['Functions', '}', 'content', '{', ')', 'parameter', '(', 'FunctionName', 'type-specifier']","['int', 'Name', '(', 'string', 'Name', ')', '{', 'int', 'Name', '=', 'IntegerValue', ';', 'while', '(', 'Name', '<=', 'IntegerValue', ')', '{', 'Name', '(', 'Name', ')', ';', 'Name', '=', 'Name', '+', 'IntegerValue', ';', '}', '}', ';', 'end']",FunctionType -> type-specifier
4,"['Functions', '}', 'content', '{', ')', 'parameter', '(', 'FunctionName', 'void']","['int', 'Name', '(', 'string', 'Name', ')', '{', 'int', 'Name', '=', 'IntegerValue', ';', 'while', '(', 'Name', '<=', 'IntegerValue', ')', '{', 'Name', '(', 'Name', ')', ';', 'Name', '=', 'Name', '+', 'IntegerValue', ';', '}', '}', ';', 'end']",type-specifier -> void
5,"['Functions', '}', 'content', '{', ')', 'parameter', '(', 'FunctionName']","['Name', '(', 'string', 'Name', ')', '{', 'int', 'Name', '=', 'IntegerValue', ';', 'while', '(', 'Name', '<=', 'IntegerValue', ')', '{', 'Name', '(', 'Name', ')', ';', 'Name', '=', 'Name', '+', 'IntegerValue', ';', '}', '}', ';', 'end']",
6,"['Functions', '}', 'content', '{', ')', 'parameter', '(', 'Name']","['Name', '(', 'string', 'Name', ')', '{', 'int', 'Name', '=', 'IntegerValue', ';', 'while', '(', 'Name', '<=', 'IntegerValue', ')', '{', 'Name', '(', 'Name', ')', ';', 'Name', '=', 'Name', '+', 'IntegerValue', ';', '}', '}', ';', 'end']",FunctionName -> Name
7,"['Functions', '}', 'content', '{', ')', 'parameter', '(']","['(', 'string', 'Name', ')', '{', 'int', 'Name', '=', 'IntegerValue', ';', 'while', '(', 'Name', '<=', 'IntegerValue', ')', '{', 'Name', '(', 'Name', ')', ';', 'Name', '=', 'Name', '+', 'IntegerValue', ';', '}', '}', ';', 'end']",
8,"['Functions', '}', 'content', '{', ')', 'parameter']","['string', 'Name', ')', '{', 'int', 'Name', '=', 'IntegerValue', ';', 'while', '(', 'Name', '<=', 'IntegerValue', ')', '{', 'Name', '(', 'Name', ')', ';', 'Name', '=', 'Name', '+', 'IntegerValue', ';', '}', '}', ';', 'end']",
9,"['Functions', '}', 'content', '{', ')', 'Name', 'dataType']","['string', 'Name', ')', '{', 'int', 'Name', '=', 'IntegerValue', ';', 'while', '(', 'Name', '<=', 'IntegerValue', ')', '{', 'Name', '(', 'Name', ')', ';', 'Name', '=', 'Name', '+', 'IntegerValue', ';', '}', '}', ';', 'end']",parameter -> dataType Name
10,"['Functions', '}', 'content', '{', ')', 'Name', 'type-specifier']","['string', 'Name', ')', '{', 'int', 'Name', '=', 'IntegerValue', ';', 'while', '(', 'Name', '<=', 'IntegerValue', ')', '{', 'Name', '(', 'Name', ')', ';', 'Name', '=', 'Name', '+', 'IntegerValue', ';', '}', '}', ';', 'end']",dataType -> type-specifier
11,"['Functions', '}', 'content', '{', ')', 'Name', 'void']","['string', 'Name', ')', '{', 'int', 'Name', '=', 'IntegerValue', ';', 'while', '(', 'Name', '<=', 'IntegerValue', ')', '{', 'Name', '(', 'Name', ')', ';', 'Name', '=', 'Name', '+', 'IntegerValue', ';', '}', '}', ';', 'end']",type-specifier -> void
12,"['Functions', '}', 'content', '{', ')', 'Name']","['Name', ')', '{', 'int', 'Name', '=', 'IntegerValue', ';', 'while', '(', 'Name', '<=', 'IntegerValue', ')', '{', 'Name', '(', 'Name', ')', ';', 'Name', '=', 'Name', '+', 'IntegerValue', ';', '}', '}', ';', 'end']",
13,"['Functions', '}', 'content', '{', ')']","[')', '{', 'int', 'Name', '=', 'IntegerValue', ';', 'while', '(', 'Name', '<=', 'IntegerValue', ')', '{', 'Name', '(', 'Name', ')', ';', 'Name', '=', 'Name', '+', 'IntegerValue', ';', '}', '}', ';', 'end']",
14,"['Functions', '}', 'content', '{']","['{', 'int', 'Name', '=', 'IntegerValue', ';', 'while', '(', 'Name', '<=', 'IntegerValue', ')', '{', 'Name', '(', 'Name', ')', ';', 'Name', '=', 'Name', '+', 'IntegerValue', ';', '}', '}', ';', 'end']",
15,"['Functions', '}', 'content']","['int', 'Name', '=', 'IntegerValue', ';', 'while', '(', 'Name', '<=', 'IntegerValue', ')', '{', 'Name', '(', 'Name', ')', ';', 'Name', '=', 'Name', '+', 'IntegerValue', ';', '}', '}', ';', 'end']",
16,"['Functions', '}', 'content', ';', 'variableInitialization']","['int', 'Name', '=', 'IntegerValue', ';', 'while', '(', 'Name', '<=', 'IntegerValue', ')', '{', 'Name', '(', 'Name', ')', ';', 'Name', '=', 'Name', '+', 'IntegerValue', ';', '}', '}', ';', 'end']",content -> variableInitialization ; content
17,"['Functions', '}', 'content', ';', 'moreVariable', 'Name', 'type-specifier']","['int', 'Name', '=', 'IntegerValue', ';', 'while', '(', 'Name', '<=', 'IntegerValue', ')', '{', 'Name', '(', 'Name', ')', ';', 'Name', '=', 'Name', '+', 'IntegerValue', ';', '}', '}', ';', 'end']",variableInitialization -> type-specifier Name moreVariable
18,"['Functions', '}', 'content', ';', 'moreVariable', 'Name', 'void']","['int', 'Name', '=', 'IntegerValue', ';', 'while', '(', 'Name', '<=', 'IntegerValue', ')', '{', 'Name', '(', 'Name', ')', ';', 'Name', '=', 'Name', '+', 'IntegerValue', ';', '}', '}', ';', 'end']",type-specifier -> void
19,"['Functions', '}', 'content', ';', 'moreVariable', 'Name']","['Name', '=', 'IntegerValue', ';', 'while', '(', 'Name', '<=', 'IntegerValue', ')', '{', 'Name', '(', 'Name', ')', ';', 'Name', '=', 'Name', '+', 'IntegerValue', ';', '}', '}', ';', 'end']",
20,"['Functions', '}', 'content', ';', 'moreVariable']","['=', 'IntegerValue', ';', 'while', '(', 'Name', '<=', 'IntegerValue', ')', '{', 'Name', '(', 'Name', ')', ';', 'Name', '=', 'Name', '+', 'IntegerValue', ';', '}', '}', ';', 'end']",
21,"['Functions', '}', 'content', ';', 'valueVariable', '=']","['=', 'IntegerValue', ';', 'while', '(', 'Name', '<=', 'IntegerValue', ')', '{', 'Name', '(', 'Name', ')', ';', 'Name', '=', 'Name', '+', 'IntegerValue', ';', '}', '}', ';', 'end']",moreVariable -> = valueVariable
22,"['Functions', '}', 'content', ';', 'valueVariable']","['IntegerValue', ';', 'while', '(', 'Name', '<=', 'IntegerValue', ')', '{', 'Name', '(', 'Name', ')', ';', 'Name', '=', 'Name', '+', 'IntegerValue', ';', '}', '}', ';', 'end']",
23,"['Functions', '}', 'content', ';', 'CharacterValue']","['IntegerValue', ';', 'while', '(', 'Name', '<=', 'IntegerValue', ')', '{', 'Name', '(', 'Name', ')', ';', 'Name', '=', 'Name', '+', 'IntegerValue', ';', '}', '}', ';', 'end']",valueVariable -> CharacterValue
24,"['Functions', '}', 'content', ';']","[';', 'while', '(', 'Name', '<=', 'IntegerValue', ')', '{', 'Name', '(', 'Name', ')', ';', 'Name', '=', 'Name', '+', 'IntegerValue', ';', '}', '}', ';', 'end']",
25,"['Functions', '}', 'content']","['while', '(', 'Name', '<=', 'IntegerValue', ')', '{', 'Name', '(', 'Name', ')', ';', 'Name', '=', 'Name', '+', 'IntegerValue', ';', '}', '}', ';', 'end']",
